category,file,rows,n_unique_patient_id,columns,missing_pct
lab_tests,HB 11.csv,538239,34912.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,HB 22.csv,791792,100210.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,HBA1C 11.csv,179562,38749.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,HBA1C 22.csv,960185,343724.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.01, ""LabTestName"": 0.0}"
lab_tests,HDL D.csv,267907,125045.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,INR 11.csv,312260,101094.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,LDH 11.csv,100774,50068.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,LDH 22.csv,47524,27205.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,LDL D .csv,252440,122109.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MCH 11.csv,240914,13623.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,MCH 22.csv,1000000,100587.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
